Source,Target,Type,Id,Label,timeset,Weight,value
10549,20145,Undirected,13927,,,1,1
10736,21583,Undirected,13928,,,3,3
10049,10877,Undirected,13929,,,12,12
10185,20416,Undirected,13930,,,1,1
10608,20981,Undirected,13931,,,4,4
20372,20938,Undirected,13932,,,6,6
10257,20824,Undirected,13933,,,5,5
10153,21566,Undirected,13934,,,1,1
20383,60002,Undirected,13935,,,3,3
21719,30333,Undirected,13936,,,1,1
20254,40120,Undirected,13937,,,1,1
21715,30307,Undirected,13938,,,1,1
20084,20449,Undirected,13939,,,1,1
20542,21314,Undirected,13940,,,1,1
20415,40164,Undirected,13941,,,4,4
10626,20058,Undirected,13942,,,2,2
20448,21410,Undirected,13943,,,35,35
11313,30354,Undirected,13944,,,1,1
10694,60059,Undirected,13945,,,4,4
10061,30107,Undirected,13946,,,8,8
20680,40183,Undirected,13947,,,2,2
20398,20702,Undirected,13948,,,1,1
21485,60051,Undirected,13949,,,2,2
11053,21001,Undirected,13950,,,7,7
20467,60055,Undirected,13951,,,1,1
20632,20910,Undirected,13952,,,24,24
10161,10335,Undirected,13953,,,9,9
20098,20527,Undirected,13954,,,4,4
21427,40076,Undirected,13955,,,1,1
20487,40138,Undirected,13956,,,1,1
20113,20145,Undirected,13957,,,10,10
11306,20679,Undirected,13958,,,1,1
20372,21330,Undirected,13959,,,3,3
10148,10254,Undirected,13960,,,2,2
10755,21544,Undirected,13961,,,4,4
20160,30244,Undirected,13962,,,2,2
21586,21743,Undirected,13963,,,2,2
10199,60082,Undirected,13964,,,1,1
20492,21625,Undirected,13965,,,1,1
11344,21732,Undirected,13966,,,1,1
10821,40184,Undirected,13967,,,1,1
10591,30203,Undirected,13968,,,9,9
10553,40095,Undirected,13969,,,9,9
21608,40116,Undirected,13970,,,3,3
10787,20341,Undirected,13971,,,1,1
20939,40031,Undirected,13972,,,18,18
10130,20256,Undirected,13973,,,2,2
10455,20097,Undirected,13974,,,1,1
20372,50010,Undirected,13975,,,9,9
20783,21359,Undirected,13976,,,1,1
30169,30399,Undirected,13977,,,5,5
10527,21791,Undirected,13978,,,2,2
21083,40118,Undirected,13979,,,1,1
20617,60025,Undirected,13980,,,571,571
21238,21335,Undirected,13981,,,18,18
30244,40026,Undirected,13982,,,5,5
20518,40051,Undirected,13983,,,4,4
10878,11112,Undirected,13984,,,1,1
21037,21738,Undirected,13985,,,1,1
21037,40081,Undirected,13986,,,8,8
21179,21778,Undirected,13987,,,39,39
30006,40001,Undirected,13988,,,6,6
10739,11327,Undirected,13989,,,2,2
10011,21385,Undirected,13990,,,7,7
20036,20971,Undirected,13991,,,3,3
21169,21427,Undirected,13992,,,1,1
11400,20896,Undirected,13993,,,9,9
10690,10838,Undirected,13994,,,1,1
10556,10837,Undirected,13995,,,2,2
21079,30264,Undirected,13996,,,1,1
11127,21007,Undirected,13997,,,1,1
10062,20526,Undirected,13998,,,3,3
10507,20283,Undirected,13999,,,2,2
10247,10518,Undirected,14000,,,1,1
10259,60014,Undirected,14001,,,3,3
20396,40097,Undirected,14002,,,1,1
10013,30412,Undirected,14003,,,1,1
10062,40054,Undirected,14004,,,1,1
20098,20809,Undirected,14005,,,17,17
10627,50060,Undirected,14006,,,43,43
10120,20768,Undirected,14007,,,3,3
10205,10803,Undirected,14008,,,3,3
21527,21719,Undirected,14009,,,1,1
21037,21558,Undirected,14010,,,1,1
10198,30224,Undirected,14011,,,1,1
10391,30008,Undirected,14012,,,6,6
10528,40051,Undirected,14013,,,1,1
11027,20985,Undirected,14014,,,1,1
10381,20944,Undirected,14015,,,8,8
11114,20057,Undirected,14016,,,1,1
10528,40058,Undirected,14017,,,1,1
20106,20706,Undirected,14018,,,1,1
20399,21245,Undirected,14019,,,1,1
30232,40034,Undirected,14020,,,1,1
20754,21525,Undirected,14021,,,11,11
10826,20372,Undirected,14022,,,4,4
20257,40113,Undirected,14023,,,2,2
10991,21639,Undirected,14024,,,1,1
20399,21248,Undirected,14025,,,2,2
20317,20944,Undirected,14026,,,1,1
10246,40079,Undirected,14027,,,1,1
10776,20411,Undirected,14028,,,3,3
10318,11257,Undirected,14029,,,8,8
10427,40035,Undirected,14030,,,11,11
10786,11145,Undirected,14031,,,2,2
20122,21715,Undirected,14032,,,2,2
10484,20544,Undirected,14033,,,1,1
20326,30267,Undirected,14034,,,1,1
10456,40004,Undirected,14035,,,1,1
21210,60055,Undirected,14036,,,1,1
30244,40170,Undirected,14037,,,1,1
30244,40171,Undirected,14038,,,2,2
20009,30276,Undirected,14039,,,116,116
21613,40118,Undirected,14040,,,1,1
21172,50012,Undirected,14041,,,8,8
10848,21539,Undirected,14042,,,1,1
20543,30192,Undirected,14043,,,4,4
10245,20658,Undirected,14044,,,272,272
10563,21268,Undirected,14045,,,7,7
21281,30415,Undirected,14046,,,1,1
21070,21682,Undirected,14047,,,46,46
10251,60039,Undirected,14048,,,4,4
10251,60035,Undirected,14049,,,2,2
20398,21220,Undirected,14050,,,2,2
10563,11270,Undirected,14051,,,25,25
20314,60076,Undirected,14052,,,1,1
40075,60019,Undirected,14053,,,2,2
20559,21145,Undirected,14054,,,1,1
21323,21526,Undirected,14055,,,2,2
10472,60019,Undirected,14056,,,1,1
20066,21099,Undirected,14057,,,1,1
10369,11106,Undirected,14058,,,4,4
20088,20755,Undirected,14059,,,1,1
20548,20755,Undirected,14060,,,1,1
20122,20261,Undirected,14061,,,347,347
20640,40044,Undirected,14062,,,5,5
20478,20724,Undirected,14063,,,1,1
20743,21522,Undirected,14064,,,1,1
20587,21526,Undirected,14065,,,1,1
20355,20472,Undirected,14066,,,5,5
30073,40189,Undirected,14067,,,1,1
11282,21133,Undirected,14068,,,1,1
10916,21115,Undirected,14069,,,3,3
10951,20108,Undirected,14070,,,2,2
