Id,Label,timeset,name,institute,department,year,title,reference,componentnumber
90028,张军,,张军,BEIHANG UNIVERSITY,信息科学部,2006,Emergency,10.02623602,
90027,朱军,,朱军,TSINGHUA UNIVERSITY,信息科学部,2013,Emergency,8.604104563,
90026,梅宏,,梅宏,PEKING UNIVERSITY,信息科学部,2001,Emergency,9.468851067,
90025,李晓春,,李晓春,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2015,Emergency,5.837730447,
90024,罗军舟,,罗军舟,SOUTHEAST UNIVERSITY,信息科学部,2018,Emergency,7.055312843,
90023,于全,,于全,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,5.170483995,
90022,姚期智,,姚期智,TSINGHUA UNIVERSITY,信息科学部,2018,Emergency,9.54215894,
90021,吕健,,吕健,CHINESE ACADEMY OF SCIENCES,信息科学部,2018,Emergency,7.317212408,
90020,孙家广,,孙家广,TSINGHUA UNIVERSITY,信息科学部,2018,Emergency,7.355641103,
90019,倪光南,,倪光南,CHINESE ACADEMY OF SCIENCES,信息科学部,2018,Emergency,2.708050201,
90018,李国杰,,李国杰,CHINESE ACADEMY OF SCIENCES,信息科学部,2018,Emergency,4.276666119,0
90017,刘亮,,刘亮,BEIJING UNIVERSITY OF POSTS AND TELECOMMUNICATIONS,信息科学部,2017,Emergency,6.17586727,
90016,张兰,,张兰,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,信息科学部,2018,Emergency,4.189654742,
90015,马利庄,,马利庄,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,6.159095388,
90014,周志华,,周志华,NANJING UNIVERSITY,信息科学部,2018,Emergency,10.22882662,
90013,周亮,,周亮,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,5.926926026,
90012,李建中,,李建中,HARBIN INSTITUTE OF TECHNOLOGY,教学名师领军人才,2017,Emergency,8.523771507,
90011,张军,,张军,SOUTH CHINA UNIVERSITY OF TECHNOLOGY,哲学社会科学领军人才,2016,Emergency,9.82151799,
90010,宋杰,,宋杰,SHANGHAI JIAO TONG UNIVERSITY,医学科学部,2018,Emergency,8.211754397,
90009,邹卫文,,邹卫文,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,7.247080585,
90008,谷大武,,谷大武,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,7.07834158,
90007,郁文贤,,郁文贤,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,6.892641641,
90006,张亚非,,张亚非,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,7.664346632,
90005,傅育熙,,傅育熙,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2002,Emergency,6.180016654,
90004,过敏意,,过敏意,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,8.523970176,
90003,李少远,,李少远,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,8.081165778,
90002,胡卫生,,胡卫生,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2008,Emergency,7.180069874,
90001,陈贵海,,陈贵海,SHANGHAI JIAO TONG UNIVERSITY,信息科学部,2018,Emergency,8.321421587,
60104,葛昌纯,,葛昌纯,UNIVERSITY OF SCIENCE AND TECHNOLOGY BEIJING,技术科学部,2001,YSK,6.562444094,
60103,秦国刚,,秦国刚,PEKING UNIVERSITY,技术科学部,2001,YSK,7.623641947,
60102,夏建白,,夏建白,CHINESE ACADEMY OF SCIENCES,技术科学部,2001,YSK,8.041091004,
60101,柳百新,,柳百新,TSINGHUA UNIVERSITY,技术科学部,2001,YSK,6.670766321,
60100,张楚汉,,张楚汉,TSINGHUA UNIVERSITY,技术科学部,2001,YSK,6.548219103,0
60099,涂传诒,,涂传诒,PEKING UNIVERSITY,地学部,2001,YSK,7.416979621,
60098,钟大赉,,钟大赉,CHINESE ACADEMY OF SCIENCES,地学部,2001,YSK,6.826545224,
60097,胡敦欣,,胡敦欣,CHINESE ACADEMY OF SCIENCES,地学部,2001,YSK,6.742880636,
60096,金玉玕,,金玉玕,CHINESE ACADEMY OF SCIENCES,地学部,2001,YSK,7.662467815,
60095,李崇银,,李崇银,CHINESE ACADEMY OF SCIENCES,地学部,2001,YSK,6.920671504,
60094,李小文,,李小文,BEIJING NORMAL UNIVERSITY,地学部,2001,YSK,8.101980732,0
60093,赵尔宓,,赵尔宓,CHINESE ACADEMY OF SCIENCES,生物学部,2001,YSK,5.723585102,
60092,金国章,,金国章,CHINESE ACADEMY OF SCIENCES,生物学部,2001,YSK,6.605297921,
60091,黄春辉,,黄春辉,PEKING UNIVERSITY,+none+,1000,YSK,8.355144739,
60090,林国强,,林国强,CHINESE ACADEMY OF SCIENCES,化学部,2001,YSK,7.747164967,
60089,陈洪渊,,陈洪渊,NANJING UNIVERSITY,化学部,2001,YSK,9.162304923,
60088,周又元,,周又元,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,数学物理学部,2001,YSK,5.730099783,
60087,邹广田,,邹广田,JILIN UNIVERSITY,数学物理学部,2001,YSK,8.571681377,
60086,张殿琳,,张殿琳,CHINESE ACADEMY OF SCIENCES,数学物理学部,2001,YSK,7.594381243,
60085,叶朝辉,,叶朝辉,CHINESE ACADEMY OF SCIENCES,数学物理学部,2001,YSK,7.273092596,
60084,彭堃墀,,彭堃墀,SHANXI UNIVERSITY,技术科学部,2003,YSK,7.138073034,
60083,金展鹏,,金展鹏,CENTRAL SOUTH UNIVERSITY,技术科学部,2003,YSK,7.376508126,
60082,范守善,,范守善,TSINGHUA UNIVERSITY,技术科学部,2003,YSK,9.354007722,
60081,陈国良,,陈国良,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,技术科学部,2003,YSK,5.789960171,
60080,朱位秋,,朱位秋,ZHEJIANG UNIVERSITY,技术科学部,2003,YSK,7.027314514,
60079,李曙光,,李曙光,UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA,地学部,2003,YSK,5.455321115,
